id;nombre;fecha_nacimiento;pasaporte;codigo_compania;vuelo_id;licencia
1;Jason Edwards;1975-02-09;J22810925;ADC;41;45
2;Matthew Walsh;1993-09-20;S26547035;EAL;77;12
3;Jacob Duran;1988-02-25;A85793465;LAM;129;17
4;Danny Pratt;1998-10-31;E10934506;EAL;103;36
5;Jacob Duran;1988-02-25;A85793465;KAI;126;17
6;Jacob Duran;1988-02-25;A85793465;KEA;59;17
7;Danny Pratt;1998-10-31;E10934506;UCA;147;47
8;Jacob Duran;1988-02-25;A85793465;QAF;57;17
9;Jason Edwards;1975-02-09;J22810925;LRC;41;45
10;Jessica Harvey;1996-04-08;L89163667;UCA;143;37
11;Danny Pratt;1998-10-31;E10934506;ADC;8;47
12;Jason Edwards;1975-02-09;J22810925;MPH;6;15
13;Joe Cabrera;1994-08-13;O98651462;LAW;67;25
14;Danny Pratt;1998-10-31;E10934506;BTA;112;36
15;Danny Pratt;1998-10-31;E10934506;KAI;125;36
16;Jason Edwards;1975-02-09;J22810925;ADC;88;15
17;Matthew Walsh;1993-09-20;S26547035;LRC;77;12
18;Laura Ward;1981-01-23;I74549867;EAL;134;28
19;Jacob Duran;1988-02-25;A85793465;LAM;73;17
20;Latasha Nelson;1986-05-09;V51246373;MPH;48;49
21;Laura Ward;1981-01-23;I74549867;MPH;134;28
22;Laura Ward;1981-01-23;I74549867;ETA;134;28
23;Jason Edwards;1975-02-09;J22810925;IBE;64;15
24;Latasha Nelson;1986-05-09;V51246373;LRC;130;49
25;Alex Deleon;1979-10-03;A35692355;MPH;0;11
26;Jacob Duran;1988-02-25;A85793465;QAF;4;48
27;Danny Pratt;1998-10-31;E10934506;BTA;119;36
28;Jacob Duran;1988-02-25;A85793465;COG;126;17
29;Jacob Duran;1988-02-25;A85793465;BTA;52;48
30;Matthew Walsh;1993-09-20;S26547035;IBE;131;46
31;Linda Warren;1975-03-13;L01109034;ETA;14;50
32;Jason Edwards;1975-02-09;J22810925;LUD;88;45
33;Joe Cabrera;1994-08-13;O98651462;BTA;83;25
34;Latasha Nelson;1986-05-09;V51246373;LAW;82;49
35;Laura Ward;1981-01-23;I74549867;EAL;90;28
36;Jacob Duran;1988-02-25;A85793465;KEA;3;17
37;Danny Pratt;1998-10-31;E10934506;EAL;125;36
38;Jason Edwards;1975-02-09;J22810925;ETA;87;45
39;Jessica Harvey;1996-04-08;L89163667;UCA;19;37
40;Jessica Harvey;1996-04-08;L89163667;IBE;19;37
41;Jason Edwards;1975-02-09;J22810925;XLE;55;45
42;Jason Edwards;1975-02-09;J22810925;LAT;132;15
43;Jason Edwards;1975-02-09;J22810925;ETA;76;45
44;Jason Edwards;1975-02-09;J22810925;XLE;55;15
45;Jacob Duran;1988-02-25;A85793465;KAI;29;17
46;Kimberly Brown;1999-09-02;H50641909;COG;111;51
47;Jacob Duran;1988-02-25;A85793465;BTA;9;17
48;Jacob Duran;1988-02-25;A85793465;LAM;59;48
49;Ronald Monroe;1984-09-12;C02131672;QAF;121;41
50;Joe Cabrera;1994-08-13;O98651462;LAW;81;25
51;Alex Deleon;1979-10-03;A35692355;ETA;0;11
52;Jason Edwards;1975-02-09;J22810925;ADC;60;15
53;Danny Pratt;1998-10-31;E10934506;ADC;112;47
54;Jacob Duran;1988-02-25;A85793465;UAN;140;48
55;Jason Edwards;1975-02-09;J22810925;IBE;142;15
56;Jason Edwards;1975-02-09;J22810925;XLE;142;15
57;Gabriel Palmer;1981-08-18;O88716397;EAL;45;40
58;Jeffrey Roberts;1971-12-02;G16561693;KEA;114;19
59;Jason Edwards;1975-02-09;J22810925;XLE;80;15
60;Jason Edwards;1975-02-09;J22810925;ADC;41;15
61;Jason Edwards;1975-02-09;J22810925;LAT;142;45
62;Jacob Duran;1988-02-25;A85793465;KEA;140;17
63;Jason Edwards;1975-02-09;J22810925;IBE;100;15
64;Curtis Gutierrez;1974-03-14;Q46419538;AZI;133;7
65;Jason Edwards;1975-02-09;J22810925;LAT;107;45
66;Jason Edwards;1975-02-09;J22810925;LAM;88;15
67;Joe Cabrera;1994-08-13;O98651462;LAT;83;25
68;Jason Edwards;1975-02-09;J22810925;MPH;107;45
69;Jacob Duran;1988-02-25;A85793465;LAM;129;48
