trabajador_id;nombre;fecha_nacimiento;pasaporte;codigo_compania;vuelo_id;rol
4;Diane Swanson;1974-02-14;F08731569;KAI;139;Tripulante de Cabina
2;Melissa Jimenez;1998-12-18;W08204144;LUD;78;Tripulante de Cabina
35;Francisco Rich;1996-02-21;D89562085;IBE;124;Paramedico
22;Rodney Wilson;1973-10-18;R08362516;COG;101;Tripulante de Cabina
40;Brian Berry;1998-12-22;N92528667;LAT;35;Paramedico
22;Rodney Wilson;1973-10-18;R08362516;UAN;137;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;NCY;65;Tripulante de Cabina
39;Patricia Norris;1974-12-08;Y69764268;ADC;15;Tripulante de Cabina
18;Michael Chavez;1976-08-28;O16330677;UCA;41;Tripulante de Cabina
45;Jill Haas;1986-04-10;U50608611;MPH;117;Paramedico
20;James Singleton;1977-08-12;U46471214;LAM;7;Paramedico
43;Rebecca Valenzuela;1971-08-18;G17571521;BTA;94;Paramedico
53;Patricia Alvarado;1983-08-01;P27318304;BTA;27;Paramedico
14;Ronnie Macias;1988-02-12;J06543685;LUD;117;Tripulante de Cabina
40;Brian Berry;1998-12-22;N92528667;ETA;11;Paramedico
51;Kristina Gilmore;1985-12-13;B29047250;NCY;137;Tripulante de Cabina
35;Francisco Rich;1996-02-21;D89562085;COG;89;Paramedico
19;Desiree Williams;1993-03-19;Z32250364;LUD;85;Tripulante de Cabina
18;Michael Chavez;1976-08-28;O16330677;BTA;65;Tripulante de Cabina
12;Ronnie Moore;1997-01-12;L28170812;ADC;87;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;LUD;112;Tripulante de Cabina
40;Brian Berry;1998-12-22;N92528667;NCY;96;Paramedico
4;Diane Swanson;1974-02-14;F08731569;COG;105;Tripulante de Cabina
19;Desiree Williams;1993-03-19;Z32250364;ETA;112;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;AZI;136;Tripulante de Cabina
45;Jill Haas;1986-04-10;U50608611;LAW;92;Paramedico
46;Heather Arnold;1999-01-10;Y81323264;UAN;45;Tripulante de Cabina
46;Heather Arnold;1999-01-10;Y81323264;UAN;28;Tripulante de Cabina
18;Michael Chavez;1976-08-28;O16330677;UCA;25;Tripulante de Cabina
16;Tracey Harris;1978-06-05;C97271665;ETA;123;Tripulante de Cabina
58;Samuel Jimenez;1984-01-07;B79815379;NCY;80;Tripulante de Cabina
50;Adam Herrera;1976-12-04;Y37241205;LAW;95;Paramedico
18;Michael Chavez;1976-08-28;O16330677;BTA;55;Tripulante de Cabina
18;Michael Chavez;1976-08-28;O16330677;ETA;25;Tripulante de Cabina
22;Rodney Wilson;1973-10-18;R08362516;LAM;136;Tripulante de Cabina
